Destination,Country code,World,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Djibouti,262,123537,1847,5544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,,
Eritrea,232,15798,687,1519,,,,,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,1037,,,,,,,,,,,134,,,,190,,,,,,,,,,,1672,,,,,,,,,,,108,,,,,432,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,348,,,,,,,,,,,,,,765,,,,,,,,,,,,,,,,,1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,,,,,,,,,,,,,,,,,,,2434,121,1476,,,,207,,,,,,,,,,,,,,,,,,,1510,,,56,521,,,,,,,,,,,239,321
Ethiopia,231,718241,18052,54157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,105,,3827,,,,,,,8038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,457483,,154372,,,,21636,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,,,,150,,
Kenya,404,955452,17149,31940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3530,,,,,,,,,,,,,,,,,,,,,,,,,,5155,,,,,,,,,1220,,21857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5142,,,,,,,,,,,,,,,,,,,517666,91,41721,,,,5847,,,,,,,,,,,,,,,,,,,271149,,,,32441,,,,,,,,,,,,
Madagascar,450,34313,3210,1110,,,2953,,,,,,,,,,,,,,26,,,78,,,,,,,,,,,,,,,,108,,,,,,,,2813,,,,5510,,,,,,5,,,,50,,,,,,,57,,,,,,,,,,10185,,,,,,264,,,,,,,,,,,,,,,,,4391,,,,,,,237,,52,,,,,,,,,,,,31,,,,,,,,,,,,,312,,,,,,,,,,,,,,,,,,,,,,,,2249,,,,,,,,,,,0,,,,123,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,,,,,,,156,,169,,,,,,61,,,,,
Malawi,454,206578,11243,33729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5042,,,,,,,,,,,,,,,,1340,,,,,,,,,,2123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4394,,,,,,,,,,,,,,,,,,,52,7849,,,,,,,,,,,,,,,,,,,,,,,,,,,1402,9128,,,,,,,,,,,40673,35287
Mauritius,480,44997,1059,3004,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,23210,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2878,,,,,,360,,,,,,,,,,,,,,,,,9500,,,,,,,307,,44,,,,,,,,,,,,,,,,1631,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,40,,,,,,890,,,,,,,,,,,,,,,,,,,,,,,,,,,1326,,119,,,,,,,,,,,
Mayotte,175,73107,606,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56791,,,,,,,,,,,,,,,,,,,,,,,,,,,9544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,508,218811,15999,55080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6653,,,,,,,,,,,,,,,,,,,,,,2294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2390,,,,,,,,,,,,,,,,,,,7695,,,,,,,76058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,,,,,,,,4340,,,,,,,,,,,,,,,,,,,,,,,,,,,,8735,,,,,,,,,,,,,,,,,,,,,,,,,,,,7511,,,,,,,,,,,5835,24961
Réunion,638,136493,5561,7971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2375,,,,,,,,,,,,,,,,,,,,,,,,,,,90192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17982,,,,,,,,,5429,6983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
