Destination,Country code,World,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Rwanda,646,452406,14675,42645,,,,,,,,,,,,17,,,,,,,,495,,,,,,,,,,,,,64198,,,130,,,,,,,,105,,,,,,,,,,,,,,,175738,,,,,,,,,,,,,,,,233,,,,,,189,,,,,,,,,,,,,,,,,355,,,,,,,,,,,,1439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106501,,,160,45373,142,,,,,,,,,,,
Seychelles,690,12079,,,,,0,4,,1,,,6,,,50,17,1,,0,210,,,37,,,,,,,,1,3,,3,,,0,0,17,,,,0,,,,485,,0,,0,3,,,13,1,41,,,1,,0,3,,,0,,10,,,,,3,,,,1,228,1,,1,,,80,20,,1,,,,,,3,0,0,1,,,3,6,6141,134,1,,14,,3,115,0,1,,,389,,0,,,,3,0,,4,,1,1,762,14,19,37,0,,,,0,525,0,0,,,1,,,11,1,,3,,156,4,,1,,,130,7,,1,1,23,,,3,,,669,0,4,,,1,,4,4,91,1,,13,,,,,,,0,6,1,,1,1,,1,,,61,242,0,24,568,,,,3,6,13,1,,228,,,,,,1,,,,,,28,14,1,275,20,11,,,0,1,1,3,0,,0,6,14
Somalia,706,24593,7498,14998,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,34,,2046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,0,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,5,,
South Sudan,728,629577,536,2144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4075,4454,,,,,,,,,,,,,,,,,,61338,,,,,,4421,,,2851,,8249,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215,,,,,,,,,,,,8212,,,,,,,,,145,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,3039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407925,,,,,,,,,,,,,,,,,,,120808,,,,,,,,,,,,,,,,
Uganda,800,531401,18,918,,,,,,,,,,,,,,,,,111,,,36,,,,,,,,,,,,,19190,,,235,,,,,,,,437,,,,,,,,63,,15,,,,149,169074,173,,,,,,,,3529,,1070,,,,,245,,,,,,239,,,36,,,,,,,,,,,,,,4350,,,,,,,427,,194,,,44359,,,,,,,,,0,,,,,8,,,,,,,,,,,,,,,,,10,,,,,215,,,,,3,,,,,731,,,,,,,,,,,196,,,,256,70411,,,,,,,,,,0,,,,,,,,,14036,,151864,45,,,21285,,,30,,,,,,,3,,,,,,,,,,,,1278,25093,1060,,,,,,,,,,7,2
United Republic of Tanzania,834,312778,2849,4313,,,,,,1226,,,,,,,,,,,,,,,,,,,,,140,,,,,,128173,,,290,,,,,,,,,,,,586,24767,,,,,,,,,,62070,,,,,,,,,,,,,,,,,,,,,,951,,,,,,,,,,,,,,,,,7867,,,,,,,566,,,,,27481,,,,,,,146,,,,,,,6947,,,,,,,,192,,,,,,,,,19948,,633,,,,,,,,,,,,,656,,,,,,,,,,,,,,,,1196,,,,,,,,,,,,367,,,,,,,2344,700,,,,,,,88,,,,,,,,,,,,,,,,,5644,,,1070,,1270,,,,,,,,,,9462,836
Zambia,894,98907,861,6777,,,,,,44339,,,,,,46,,,,,,,,,,,,,,,61,,,,,,2010,,9,88,,,,,,,,94,,,,,1019,,,,,,,,,,22670,,,,,,46,,,,,,,,,,30,,,,,,88,94,,,,,,,,,,,,,,,,1973,,,,,,,,,72,,,141,,,,,,,,,,,,,,3940,,,109,,,,,,,,,,,,,,309,,58,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,5484,,,,,,,,,,94,,,,,,,,,,875,,,,,,,,,,,,,,,,,,,,,,,,263,,,588,1281,261,,,,,,,,,,,5149
Zimbabwe,716,360992,13164,26920,,,,,,,,,,,,,,,,,,,,,,,,,,,4039,,,,,,521,,,,,,,,,,,,,,,,,,,,,,,,,,3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98384,,,,,,,,,,,,,,,,,160006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713,,,,,,,,,,,,,,,,,,,,11571,,,,,,,,,,,,,,,,,,,,,,,,,,,15561,,,,,,,,,,,,26909,
Middle Africa,911,2242414,68798,173659,0,0,106,0,0,177990,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,61504,0,0,0,0,0,0,0,0,0,6838,23801,0,96725,380,8587,0,0,98956,184380,0,0,1143,0,0,0,0,21016,0,0,3504,0,397,0,0,0,229,345771,0,0,0,0,0,74,0,84486,0,0,0,0,0,0,0,46161,0,0,3155,0,0,638,6067,0,0,0,0,0,0,0,5146,56,0,0,0,0,0,0,0,0,0,0,0,0,16,354,0,30,0,0,0,0,0,0,0,0,3919,0,0,977,0,0,0,0,0,0,0,78634,0,0,0,2432,0,0,0,0,0,0,0,0,681,232,0,828,0,0,0,0,0,0,3019,154751,0,0,0,0,0,0,0,0,0,0,0,0,14106,0,0,186,0,0,0,1911,148063,0,0,0,0,0,0,0,15065,132,41651,0,0,0,0,0,0,0,0,0,5858,213442,1198,0,0,108786,0,0,0,101,28,0,0,0,0,24090,0,0,0,214,0,0,0,0,29,0,0,61,0,1195,0,0,0,0,0,0,0,0,94,287,0
Angola,24,87436,6728,7077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8559,,,,30,,,,,,,,985,,,38,,,,,,,35345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,,828,,,,,,,,,,,,,,,,,,,,,12707,,,,,,,,995,,,,,,,,7466,,,,,,,,,,,,5846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,
Cameroon,120,291792,7575,50563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,140,134237,,,,,,,,101,,,,,,,,,,,,,,,,337,,,,,,,,,,161,52,,11463,102,,,,,66690,,,127,,,,,2388,,,233,,,,,,75,34601,,,,,,74,,238,,,,,,,,5015,,,308,,,124,,,,,,,,,91,56,,,,,,,,,,,,,,354,,,,,,,,,,,671,,,,,,,,,,,792,,,,97,,,,,,,,,,,,,,,,,,,692,2453,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,132,2707,,,,,,,,,,,2386,,,,334,,,,101,,,,,,286,,,,,,,,,,,,61,,546,,,,,,,,,94,,
Chad,148,439116,218,4441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27597,,,,,74398,,,,,,,,,637,,,,,,,,,,462,,,,,,,,,,,,,,,,788,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2327,13199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206427,,,,107385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,178,431470,3349,5029,,,,,,30592,,,,,,,,,,,,,,,,11271,,,,,,,,,,,,,8382,,,,,24255,7837,,,685,,,,,,,,,,397,,,,,266319,,,,,,,,1173,,,,,,,,7656,,,2347,,,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,,,,,,,,,,,25160,,,,2335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,,,,,,,1911,18634,,,,,,,,,,9841,,,,,,,,,,,,,,,,,,,,,,,,,1808,,,,,,,,,,,,,,124,,,,,,,,,,,
Democratic Republic of the Congo,180,446924,48067,96132,,,,,,145561,,,,,,,,,,,,,,,,,,,,,,,,,,,23485,,,,,,,,,,,,,,,,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127677,,,,,,,,,,,,,,,,,,,,,4017,,,,563,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,
Equatorial Guinea,226,10141,594,1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4274,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399,,,,,,,,,,,,,,1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,266,394953,1979,8383,,,106,,,1055,,,,,,,,,,,,,,477,,49730,,,,,,,,,,6661,161,,48255,278,,,,,4311,,,331,,,,,15547,,,3233,,,,,,154,8485,,,,,,,,82825,,,,,,,,15308,,,,,,84,6062,,,,,,,,4742,,,,,,,,,,,,,,16,,,30,,,,,,,,,2382,,,,,,,,,,,52549,,,,,,,,,,,,,681,,,,,,,,,,,22779,,,,,,,,,,,,,,,,186,,,,,200,,,,,,,,6200,,29057,,,,,,,,,,12,,,,,,,,,,28,,,,,21927,,,,214,,,,,,,,,,525,,,,,,,,,,,
Sao Tome and Principe,678,6345,288,681,,,,,,681,,,,,,,,,,,,,,,,166,,,,,,,,,,16,103,,281,,28,,,303,463,,,,,,,,66,,,,,,,,,,559,,,,,,,,250,,,,,,,,136,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,363,,,,,,,,,,,,,35,,,,,,,,557,,,,,,,,,,46,,,,,,,,,,,612,,,,504,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Africa,912,1862765,11648,38492,447,419,34485,0,0,39,0,24,77,358,0,1209,1213,46,21,1562,2018,0,1229,1092,7,13,0,1,1,459,10,358,0,68,56,55,17,7,93,4601,0,0,0,13898,77187,0,35,6109,7,0,39,6936,562,0,1,992,51,5,0,55,84,64,1429,1245,2301,0,0,17,34417,1142,1,147938,46,65615,0,0,1,1341,16635,7,0,7,16,10,11347,993,13,4227,0,0,0,0,13,961,1392,0,0,0,1,472,1,9133,21524,574,111232,56,0,51,14263,0,1623,33939,1296,3130,0,17432,88,1,1,18548,7,56,18579,1,7,7,21,39,12788,77,1519,1,0,0,1015,5,0,46,0,384,43,0,0,14126,24,17,13,0,7,2857,0,38,1,498,19876,0,0,469,2734,3970,0,1,1,1,5,7119,1099,46,0,2285,1158,88,0,963,11695,13,0,1,0,0,0,1,1,7,58598,3471,1,29,331,1082,0,38,5,0,170215,1047,89564,1173,513,439589,25554,0,7,1209,1507,46362,1099,4601,51,0,7,0,0,0,4979,4094,331,0,0,1353,1414,4482,11674,372,15957,0,5,526,0,47,1,0,101451,35644,22,22
Algeria,12,270407,,,,,,,,,,,,,,167,167,,,215,277,,169,150,,,,,,,,,,,,,,,,634,,,,,191,,,683,,,,955,,,,132,,,,,,,,171,317,,,,,157,,440,,407,,,,184,1116,,,,,,1561,137,,582,,,,,,,,,,,,,,1075,2901,,15208,,,,1486,,223,4532,178,,,2399,,,,2457,,,4665,,,,,,1760,,,,,,,,,,,,,,,1087,,,,,,393,,,,,634,,,,376,546,,,,,,979,151,,,315,159,,,132,1609,,,,,,,,,,7878,249,,,,149,,,,,23215,145,395,161,,63544,3205,,,167,208,6165,151,634,,,,,,,685,564,,,,,195,617,1606,,2196,,,,,,,,101451,4750,,
Egypt,818,297448,,,132,124,1478,,,39,,24,77,106,,308,309,46,21,398,515,,314,279,7,13,,1,1,136,10,106,,68,56,55,13,7,93,1173,,,,68,354,,35,1266,7,,39,1769,166,,1,246,51,5,,55,84,64,179,318,587,,,17,,291,1,817,46,753,,,1,342,2069,7,,7,16,10,2895,253,13,1078,,,,,13,51,128,,,,1,140,1,1996,5380,170,28192,56,,51,2754,,414,8402,331,139,,4446,88,1,1,4557,7,56,8648,1,7,7,21,39,3262,77,140,1,,,147,5,,46,,113,43,,,2018,24,17,13,,7,729,,38,1,147,1173,,,139,697,1013,,1,1,1,5,1816,282,46,,583,296,88,,246,2983,13,,1,,,,1,1,7,14604,461,1,29,97,276,,38,5,,43038,267,732,299,152,95528,5941,,7,308,384,11430,282,1173,51,,7,,,,1269,1044,97,,,72,360,1143,2978,110,4071,,5,156,,47,1,,,8803,22,22
Libya,434,755974,,,315,295,3520,,,,,,,252,,734,737,,,949,1226,,746,663,,,,,,323,,252,,,,,,,,2794,,,,,843,,,3015,,,,4212,395,,,585,,,,,,,426,756,1397,,,,20590,694,,1944,,1795,,,,815,4928,,,,,,6891,603,,2567,,,,,,,305,,,,,332,,4747,12806,404,67123,,,,6559,,986,20005,787,330,,10587,,,,10849,,,,,,,,,7766,,332,,,,351,,,,,271,,,,4803,,,,,,1735,,,,351,2794,,,330,1661,2411,,,,,,4324,666,,,1387,703,,,585,7103,,,,,,,,,,34773,1099,,,234,657,,,,,102471,635,1742,713,361,280475,14143,,,734,915,27214,666,2794,,,,,,,3024,2486,234,,,,859,2722,7090,261,9690,,,370,,,,,,20957,,
Morocco,504,50771,3692,9390,,,17637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4961,,,,,,,,,,,,,,,,,,,,,,,,437,,401,,,,2080,,,1000,,,,,,,,685,,,1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343,,,,,,,,,,405,,2950,,,,1534,,,,,1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134,,
Sudan,729,446707,5611,22444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,13830,75799,,,1145,,,,,1,,,,,,,,,,824,,0,,,,13827,,,144170,,62431,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1315,,,2,,,,,,,,,2661,,,,,,,,0,1604,,,,,,,,691,,,,,,,,,,,,,,,,,,,,,,,,15275,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,130,,83655,,,4,,,,,,0,,,,,,,,,1,,,,,1281,,,,1,,,,,,,,,,,,
Tunisia,788,36526,2266,6539,,,11775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,567,,229,,,,,3305,,,,,,,,,,,,,,,,,,,,,,,,,,306,,,,1384,,,,,,,,,,,,,,2093,,,,,,,,,,,,,,,,,,,,,6218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956,,90,,,38,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,732,4932,79,119,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,909,959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,,,,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Africa,913,2625761,9452,42834,48,83,230,0,0,59029,0,0,2213,0,0,4148,2766,0,1,89,2569,28,110,7808,0,181,57,0,83,166,48475,2881,12,12,3864,0,5051,0,2454,3471,0,687,0,61,0,0,306,26907,1189,0,271,101,22169,0,0,617,514,828,7889,2655,1076,116,26621,2843,0,0,0,0,3403,0,0,941,74,6750,0,0,24,350,7438,0,0,292,0,0,31803,7541,27,4877,0,0,0,0,63,33,28,28,0,0,0,0,16,54303,1197,487,139,12551,0,3291,23495,135,1289,53,0,16817,0,84,18,31,391,683,314068,560,152,0,296,20,1008,74253,849,53,101,239,0,0,0,10066,0,267,0,24,0,0,0,1069,472074,203,131179,16,119,20416,0,2938,103,21,19338,15,20,1188,31,12146,0,41,58,83,143,1473,9201,52629,0,0,1226,0,312,1191,3335,3910,166,24,0,0,0,0,0,0,434,2705,2839,895,433,849,1601,295,0,4,19068,52452,1544,1074,2742,95,1272,0,93514,625,1448,110,0,860,114,0,0,0,0,17,107,1109,0,0,0,7542,3740,168,313194,13392,17998,0,80,0,0,210,112,0,0,80,84164,390634
Botswana,72,146456,2019,15790,,,,,,3236,,,,,,408,,,,,,,,,,,,,,,,,,,,,,,,380,,,,,,,,3857,,,,,,,,,,,,,,,3091,360,,,,,,,,,,,,,,,,,,,,,1173,,,,,,,,,,,,,,,,,8679,,,,653,,,569,,,,,652,,,,,,,2970,,,,,,584,4190,,,,,,,,1715,,,,,,,,,1080,,1682,,,664,,,,,678,,,408,,638,,,,,,,,485,,,,,,,,,,,,,,,,,,,,242,,,,,,,,33973,,,1755,,,,635,455,,,,,,,,,,,,,,,,1500,,,7534,2705,1164,,,,,,,,,,11700,28832
Lesotho,426,3095,158,1370,,,,,,13,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,26,,9,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,,,,,,,25,,,,,,,,,,,,,,,,,27,,,,25,67,,,,,,,,,,46,91
Namibia,516,51448,6751,8424,,,,,,17493,,,,,,,,,,,,,,,,,,,,,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7718,3602
South Africa,710,2399238,20,12248,48,83,230,,,38192,,,2213,,,3697,2766,,1,89,2569,28,110,7808,,181,57,,83,166,48163,2881,12,12,3864,,4881,,2454,3075,,687,,61,0,,306,23026,1189,0,271,101,22113,,,617,514,828,7889,2655,1076,116,23404,2483,,,,,3403,,,941,74,6726,,,24,350,7438,,,292,,,30630,7523,27,4877,,,,,63,33,28,28,,,,,16,45579,1197,487,139,11898,,3291,22926,135,1289,53,,16164,,84,18,31,391,683,310925,524,152,,296,20,424,70038,849,53,101,239,,,,8351,,267,,24,,,,1069,462412,203,129488,16,119,19752,,2918,103,21,18659,15,20,780,31,11463,,41,58,83,143,1473,9201,52144,,,1226,,312,1191,3335,3802,166,24,,,,,,,434,2705,2839,653,420,849,1601,295,,4,18999,,1544,1074,970,95,1272,,92854,170,1448,110,,860,114,,,,,17,107,1109,,,,5972,3740,168,305660,10662,16566,,80,,,210,112,,,80,64700,358109
Swaziland,748,25524,504,5002,,,,,,95,,,,,,43,,,,,,,,,,,,,,,34,,,,0,,170,,,16,,,,,,,,,,,,,56,,,,,,,,,,126,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,0,173,36,,,,,,,,,,,,,,,,,,,,,,,8556,,,,,,,20,,,1,,,,,,,,,,,,,,,,,,,,0,108,,,,,,,,,,,,,13,,,,,,69,10216,,,17,,,,,,,,,,,,,,,,,,,,,43,,,,,201,,,,,,,,,,,
Western Africa,914,6696466,212881,396341,2,0,7852,0,0,443,0,0,151,0,0,2108,0,0,0,0,17,0,0,279,0,390567,0,0,0,0,0,1302,0,2,0,1609337,13,0,51002,731,4959,7,0,329,53848,0,60,1033,0,0,0,0,6279,0,0,832801,0,133,64,0,0,6,203,2,0,0,0,0,18797,2,9087,0,0,35,0,2,0,0,24609,0,0,5105,16034,0,2103,321247,0,0,0,0,0,0,0,313836,47613,0,4,0,0,0,0,2114,0,39,185,2,0,52,875,0,91,0,0,75,0,69,0,0,0,5227,0,255686,4584,0,0,4,0,0,4,0,692542,0,0,0,102309,2,0,3,0,0,0,0,0,3907,27,0,0,0,0,391,0,0,0,258338,169532,0,0,0,0,240,0,0,0,0,6,43,75,2082,0,25,258,0,0,40,1407,2867,0,0,0,0,0,0,0,1707,2190,203076,0,0,259786,0,16,0,0,0,0,104,590,381,32,328,124,0,0,61,278,402,0,0,0,7,384839,0,0,2,534,0,0,0,0,0,75,151,2973,13,4269,70,0,0,0,0,0,0,0,15,114,2
Benin,204,234241,2344,33266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9495,,,,,,,,,667,,,,,,,,1823,,,13118,,,,,,,,,,,,,,,,,,,,,,,1715,,,,,,,9747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231,,,,,,,,,,,,,,,,,,,,,,,72330,42575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45930,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,854,696983,2302,18351,,,,,,,,,,,,,,,,,,,,,,4311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45208,,,,,,,,,,,,,,,,,,,,,,,13163,3682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2874,,,,,,,,,,,,,,,,,,,,,,,,,15882,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,132,14874,202,1215,,,,,,368,,,4,,,,,,,,,,,11,,,,,,,,285,,,,,,,,,,7,,,,,,23,,,,,,,,7,,86,64,,,,,,,,,,,,,,,,,,,,201,,,7,5,,67,42,,,,,,,,411,4998,,,,,,,,,,,,,,407,,2,,,,,,,,,,,,,,,4,,,,,6,,,,,,,3,,,,,,,25,,,,,37,,,,,668,,,,,,,,,,2,,,1155,,,,,,,696,,,,,,,,,1707,,1473,,,14,,16,,,,,,,143,,,,,,,13,,,,,7,,,,,,,,,,,21,,52,,350,70,,,,,,,,,,
Côte d'Ivoire,384,2446171,43497,46262,,,,,,,,,,,,,,,,,,,,,,60797,,,,,,,,,,1455427,,,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,48070,,,,,,,,106803,370,,,,,,,,,,,,,,,,,,,,,,,,,,,92688,4121,,,,,,,,400332,,,,8993,,,,,,,,,,,,,,,,,,,55979,43761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21359,,,742,,,,,,,,,,,,,,,,,,,,,,56592,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,270,162919,1583,3167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34330,10484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7867,,,,2770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100736,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,288,358829,11660,20405,,,15,,,,,,,,,37,,,,,,,,,,19502,,,,,,15,,,,92876,,,133,320,,,,,17,,,264,,,,,,,,10670,,,,,,,35,,,,,,45,,,,,35,,,,,254,,,,42,,,,,,,,,,,161,,,,,,,,989,,,,,,52,268,,66,,,17,,,,,,1142,,2672,,,,,,,,,7819,,,,19,,,,,,,,,,,,,,,284,,,,9205,32380,,,,,103,,,,,,43,75,,,,,,,,103,582,,,,,,,,,,116,,,259,,,,,,,,26,,32,,13,,,,227,81,,,,,142688,,,,,,,,,,,,2117,13,952,,,,,,,,,,,
